name,fmt,title,abstract,authors
Abeera Fatima,poster,Network biology for precision medicine ,"Drug toxicity is a major problem in drug development, leading to clinical trial failures and harmful side effects in patients [1]. Conventional methods for assessing drug safety, such as animal testing, are being replaced by advanced bioinformatics tools. This ongoing project aims to develop a method for predicting drug toxicity by using biological networks and incorporating dynamic, multi-omics expression analysis. To identify genes that dynamically respond to drug treatments with a particular focus on leveraging the ConsensusPathDB [2] and NetCore [3] resources. These gene alterations are then mapped onto protein-protein interaction networks, utilizing stochastic processes to identify key sub-networks with significant dynamic changes. The ultimate goal of this research is to improve drug safety assessment and increase the success rate of drug development. One of the primary objectives of this study is to improve the re-ranking methodology of the NetCore to get better Gene Networks with biological significance.","Abeera Fatima, Ralf Herwig "
Abeg Dutta,,,,
Adriano Bolondi,poster,Reconstructing transient progenitor field dynamics in stem cell-derived embryoids,"Embryonic development requires substantial coordination to translate gene expression programs to the aggregate behavior of differentiating cells. Connecting these processes remains challenging because we lack appropriate cellular and genomic technologies to profile progenitor populations that only exist within short temporal windows. Here, we combine continuous Cas9-based molecular recording with an embryonic stem cell-based model of the developing trunk to capture individual differentiating lineages as they contribute to morphologically complex structures. Our reconstructed phylogenies permit detailed investigation of a transient progenitor cell type – the multipotent neuro-mesodermal progenitors (NMPs) – as they commit into more specialized neural and somitic cell types. We find that NMPs show transcriptional signatures related to their recent differentiation and collectively contribute to tissues through a surprisingly broad distribution of individual fate outcomes. The emergent behavior of cellular decisions is influenced by the intrinsic maturation of the progenitor field over time, leading to a progressive change between self-renewal and differentiation potential that can be acted on by environmental cues to alter the embryonic phenotype. With these data, we propose a general framework for exploring the non-homeostatic behavior of transient progenitor cell populations as they shape the embryo during critical and temporally limited developmental windows.","Adriano Bolondi, Benjamin K. Law, Helene Kretzmer, Seher Ipek Gassaloglu, Jesse V. Veenvliet, Alexander Meissner, Zachary D. Smith, Michelle M. Chan"
Alessandro Diamanti,,,,
Alexander Kovacsovics,,,,
Alexandra Martitz,talk,The causes and consequences of 3D-architectural changes at the onset of X-chromosome inactivation,"In the intricate realm of mammalian gene regulation, cis-regulatory elements play a crucial role in orchestrating precise gene expression during development. To exert their regulatory effect, they must come into physical contact with the promoters of their target genes, which is thought to be facilitated by loop extrusion. Here, ring-shaped cohesin complexes facilitate the contacts within defined regions of the genome, which are called topologically associating domains (TADs). To explore the intricate relationship between the cis-regulatory landscape, TAD structure, and gene expression, we employ the X inactivation centre (Xic) in mouse embryonic stem cells as a model system. The Xic regulates X-chromosome inactivation (XCI) in female mammals, in which one of the two X chromosomes is randomly chosen and silenced in early embryonic development to compensate for the double dosage of X-linked genes. Previous research has shown that the bipartite TAD structures at the Xic undergoes rewiring throughout development, exhibiting distinct patterns on the active and silenced X chromosomes. By using state-of-the-art techniques (i.e. Tiled-C, Tiled-MCC) to map the chromatin architecture at up to base-pair resolution, we have revealed nano-scale structures with unprecedent detail. Together with novel ChIPmentation data, we are able to show increased cohesin binding at activated sites as well as enhanced CTCF binding at rewired anchor sites. Together, our findings provide insights into the mechanisms of loop extrusion in regulating fine-scale chromatin architecture. ","Alexandra Martitz, Edda Schulz"
Alexandre P. Magalhaes,talk,Suboptimization of human transcription factors,"Specificity in transcriptional control is engendered by transcription factors (TFs) binding enhancer DNA elements. Weak, tissue-specific enhancers are suboptimal for TF binding, suggesting an evolutionary trade-off between transcriptional activity and specificity. Here we provide evidence that a similar trade-off is encoded in human transcription factors as submaximal spacing between aromatic residues in their intrinsically disordered regions. We identified ~500 human TFs that encode short periodic blocks of aromatic residues, resembling imperfect prion-like sequences, and show that periodic regions are distinct from previously annotated functional domains. Mutation of periodic aromatic residues inhibited, and increasing aromatic dispersion in the disordered regions of multiple TFs enhanced transcriptional activity. In three cellular reprogramming systems, optimizing aromatic dispersion enhanced reprogramming efficiencies of human TFs. Mechanistically, optimizing aromatic dispersion enhanced liquid-like properties of in vitro droplets, and led to more promiscuous DNA binding in cells. We propose that rational engineering of amino acid features that alter phase separation may be a strategy to facilitate TF-mediated cellular reprogramming, and to enhance or reduce function of any biomolecule","Julian Naderi*, Alexandre P. Magalhaes*, Gözde Kibar, Gregoire Stik, Yaotian Zhang, Sebastian D. Mackowiak, Hannah M. Wieler, Francesca Rossi, Rene Buschow, Marie Christou-Kent, Marc Alcoverro-Bertran, Thomas Graf, Martin Vingron, Denes Hnisz"
Anastasios Balaskas,poster,,,
Andrea König,,,,
Andreas Magg,poster,,,
